160.0409,183.5331
160.0668,183.5658
160.0927,183.5984
160.1186,183.631
160.1445,183.6637
160.1703,183.6964
160.1962,183.729
160.2221,183.7616
160.248,183.7943
160.2738,183.827
160.2997,183.8596
160.3256,183.8922
160.3515,183.9249
160.3774,183.9576
160.4033,183.9902
160.4332,184.0219
160.4632,184.0535
160.4904,184.0858
160.5177,184.1181
160.5491,184.1494
160.5804,184.1808
160.6117,184.2121
160.643,184.2435
160.6743,184.2749
160.6656,184.2236
160.6927,184.2481
160.7199,184.272
160.7471,184.2955
160.7743,184.3185
160.8016,184.3409
160.8289,184.3628
160.8561,184.3842
160.8854,184.4034
160.9092,184.4246
160.9348,184.4434
160.9602,184.4616
160.9852,184.4791
161.0098,184.496
161.0372,184.5146
161.0645,184.5328
161.093,184.5532
161.1182,184.5852
161.1461,184.6041
161.174,184.6225
161.2017,184.6405
161.2294,184.6579
161.2588,184.678
161.2883,184.6977
161.3218,184.7103
161.299,184.7003
161.3232,184.7159
161.3474,184.7313
161.3714,184.7464
161.4878,184.8318
161.5182,184.8513
161.5243,184.8426
161.5592,184.8671
161.5941,184.8886
161.6405,184.9271
161.6446,184.9151
161.6744,184.9339
161.714,184.9606
161.7448,184.9785
161.774,184.9953
161.8047,185.0131
161.8571,185.0552
161.8884,185.0734
161.9003,185.0683
161.8561,185.0425
161.8868,185.06
162.0056,185.1366
162.0234,185.1344
162.0593,185.1556
162.0841,185.1658
162.1067,185.187
162.137,185.2029
162.1671,185.2183
162.2318,185.2556
162.2164,185.2431
162.2462,185.2578
162.276,185.2726
162.3056,185.287
162.3728,185.3241
162.4301,185.346
162.4487,185.3522
162.4868,185.3705
162.5349,185.3965
162.5099,185.3867
162.5784,185.4237
162.6093,185.438
162.6402,185.4519
162.7127,185.479
162.7454,185.493
162.7106,185.4784
162.8984,185.5746
162.7736,185.5061
162.8882,185.556
162.9229,185.5707
162.9736,185.596
162.9194,185.5708
163.0826,185.6488
163.112,185.662
163.144,185.6718
163.1318,185.6573
163.2006,185.697
163.2342,185.7073
163.2616,185.7191
163.2928,185.7303
163.327,185.7407
163.3583,185.7517
163.3769,185.7624
163.4065,185.7729
163.4467,185.7844
163.4791,185.7954
163.5115,185.8062
163.5486,185.8172
163.5619,185.8267
163.6081,185.8387
163.6291,185.8491
163.6636,185.8603
163.7071,185.8714
163.7401,185.8819
163.7696,185.8975
163.808,185.9097
163.8318,185.914
163.8677,185.9252
